Epoch 1: duration loss = 0.475 | prior loss = 1.926 | diffusion loss = 0.356
Epoch 2: duration loss = 0.457 | prior loss = 1.929 | diffusion loss = 0.346
Epoch 3: duration loss = 0.451 | prior loss = 1.925 | diffusion loss = 0.259
Epoch 4: duration loss = 0.446 | prior loss = 1.927 | diffusion loss = 0.176
Epoch 5: duration loss = 0.445 | prior loss = 1.925 | diffusion loss = 0.157
Epoch 6: duration loss = 0.443 | prior loss = 1.930 | diffusion loss = 0.149
Epoch 7: duration loss = 0.441 | prior loss = 1.926 | diffusion loss = 0.143
Epoch 8: duration loss = 0.439 | prior loss = 1.926 | diffusion loss = 0.141
Epoch 9: duration loss = 0.438 | prior loss = 1.930 | diffusion loss = 0.139
Epoch 10: duration loss = 0.438 | prior loss = 1.928 | diffusion loss = 0.137
Epoch 11: duration loss = 0.436 | prior loss = 1.925 | diffusion loss = 0.131
Epoch 12: duration loss = 0.435 | prior loss = 1.929 | diffusion loss = 0.131
Epoch 13: duration loss = 0.435 | prior loss = 1.927 | diffusion loss = 0.129
Epoch 14: duration loss = 0.434 | prior loss = 1.924 | diffusion loss = 0.131
Epoch 15: duration loss = 0.433 | prior loss = 1.928 | diffusion loss = 0.128
Epoch 16: duration loss = 0.432 | prior loss = 1.927 | diffusion loss = 0.127
Epoch 17: duration loss = 0.431 | prior loss = 1.924 | diffusion loss = 0.127
Epoch 18: duration loss = 0.423 | prior loss = 1.929 | diffusion loss = 0.126
Epoch 19: duration loss = 0.423 | prior loss = 1.930 | diffusion loss = 0.125
Epoch 20: duration loss = 0.423 | prior loss = 1.926 | diffusion loss = 0.124
Epoch 21: duration loss = 0.422 | prior loss = 1.930 | diffusion loss = 0.123
Epoch 22: duration loss = 0.422 | prior loss = 1.924 | diffusion loss = 0.122
Epoch 23: duration loss = 0.423 | prior loss = 1.927 | diffusion loss = 0.124
Epoch 24: duration loss = 0.421 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 25: duration loss = 0.421 | prior loss = 1.925 | diffusion loss = 0.121
Epoch 26: duration loss = 0.421 | prior loss = 1.931 | diffusion loss = 0.125
Epoch 27: duration loss = 0.421 | prior loss = 1.924 | diffusion loss = 0.124
Epoch 28: duration loss = 0.421 | prior loss = 1.929 | diffusion loss = 0.124
Epoch 29: duration loss = 0.421 | prior loss = 1.928 | diffusion loss = 0.125
Epoch 30: duration loss = 0.420 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 31: duration loss = 0.420 | prior loss = 1.928 | diffusion loss = 0.123
Epoch 32: duration loss = 0.421 | prior loss = 1.929 | diffusion loss = 0.121
Epoch 33: duration loss = 0.420 | prior loss = 1.929 | diffusion loss = 0.122
Epoch 34: duration loss = 0.420 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 35: duration loss = 0.419 | prior loss = 1.928 | diffusion loss = 0.124
Epoch 36: duration loss = 0.420 | prior loss = 1.927 | diffusion loss = 0.124
Epoch 37: duration loss = 0.419 | prior loss = 1.924 | diffusion loss = 0.124
Epoch 38: duration loss = 0.419 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 39: duration loss = 0.420 | prior loss = 1.927 | diffusion loss = 0.125
Epoch 40: duration loss = 0.419 | prior loss = 1.932 | diffusion loss = 0.122
Epoch 41: duration loss = 0.419 | prior loss = 1.926 | diffusion loss = 0.124
Epoch 42: duration loss = 0.420 | prior loss = 1.927 | diffusion loss = 0.124
Epoch 43: duration loss = 0.419 | prior loss = 1.929 | diffusion loss = 0.122
Epoch 44: duration loss = 0.419 | prior loss = 1.928 | diffusion loss = 0.122
Epoch 45: duration loss = 0.418 | prior loss = 1.925 | diffusion loss = 0.121
Epoch 46: duration loss = 0.420 | prior loss = 1.928 | diffusion loss = 0.124
Epoch 47: duration loss = 0.419 | prior loss = 1.929 | diffusion loss = 0.123
Epoch 48: duration loss = 0.419 | prior loss = 1.926 | diffusion loss = 0.125
Epoch 49: duration loss = 0.419 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 50: duration loss = 0.418 | prior loss = 1.928 | diffusion loss = 0.126
Epoch 51: duration loss = 0.419 | prior loss = 1.927 | diffusion loss = 0.120
Epoch 52: duration loss = 0.418 | prior loss = 1.924 | diffusion loss = 0.124
Epoch 53: duration loss = 0.418 | prior loss = 1.926 | diffusion loss = 0.122
Epoch 54: duration loss = 0.418 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 55: duration loss = 0.417 | prior loss = 1.928 | diffusion loss = 0.122
Epoch 56: duration loss = 0.418 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 57: duration loss = 0.418 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 58: duration loss = 0.418 | prior loss = 1.929 | diffusion loss = 0.124
Epoch 59: duration loss = 0.418 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 60: duration loss = 0.418 | prior loss = 1.924 | diffusion loss = 0.121
Epoch 61: duration loss = 0.417 | prior loss = 1.925 | diffusion loss = 0.122
Epoch 62: duration loss = 0.417 | prior loss = 1.925 | diffusion loss = 0.121
Epoch 63: duration loss = 0.417 | prior loss = 1.926 | diffusion loss = 0.122
Epoch 64: duration loss = 0.418 | prior loss = 1.928 | diffusion loss = 0.123
Epoch 65: duration loss = 0.417 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 66: duration loss = 0.417 | prior loss = 1.928 | diffusion loss = 0.124
Epoch 67: duration loss = 0.417 | prior loss = 1.931 | diffusion loss = 0.123
Epoch 68: duration loss = 0.417 | prior loss = 1.927 | diffusion loss = 0.126
Epoch 69: duration loss = 0.417 | prior loss = 1.924 | diffusion loss = 0.124
Epoch 70: duration loss = 0.416 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 71: duration loss = 0.416 | prior loss = 1.927 | diffusion loss = 0.125
Epoch 72: duration loss = 0.416 | prior loss = 1.926 | diffusion loss = 0.122
Epoch 73: duration loss = 0.416 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 74: duration loss = 0.417 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 75: duration loss = 0.416 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 76: duration loss = 0.417 | prior loss = 1.930 | diffusion loss = 0.120
Epoch 77: duration loss = 0.417 | prior loss = 1.931 | diffusion loss = 0.123
Epoch 78: duration loss = 0.416 | prior loss = 1.926 | diffusion loss = 0.121
Epoch 79: duration loss = 0.416 | prior loss = 1.927 | diffusion loss = 0.120
