Epochs,Diffusion Loss,Diffusion Loss (Smoothed)
1,0.128,
2,0.127,
3,0.126,
4,0.129,0.1275
5,0.124,0.1265
6,0.126,0.12625
7,0.124,0.12575
8,0.126,0.125
9,0.124,0.125
10,0.124,0.1245
11,0.122,0.124
12,0.124,0.1235
13,0.124,0.1235
14,0.129,0.12475
15,0.124,0.12525
16,0.125,0.1255
17,0.126,0.126
18,0.125,0.125
19,0.127,0.12575
20,0.124,0.1255
21,0.127,0.12575
22,0.125,0.12575
23,0.128,0.126
24,0.122,0.1255
25,0.125,0.125
26,0.126,0.12525
27,0.123,0.124
28,0.124,0.1245
29,0.123,0.124
30,0.127,0.12425
31,0.125,0.12475
32,0.124,0.12475
33,0.121,0.12425
